lexeme                         lineno                         tokenName                      valueIfNumber                  parentNodeSymbol               isLeafNode                     NodeSymbol                    
---                            8                              TK_FUNID                       ---                            function                       Yes                           ---                           
---                            8                              ---                            ---                            otherFunctions                 No                             function                      
---                            8                              TK_INPUT                       ---                            input_par                      Yes                           ---                           
---                            8                              ---                            ---                            function                       No                             input_par                     
---                            8                              TK_PARAMETER                   ---                            input_par                      Yes                           ---                           
---                            8                              TK_LIST                        ---                            input_par                      Yes                           ---                           
---                            8                              TK_SQL                         ---                            input_par                      Yes                           ---                           
---                            8                              TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            8                              ---                            ---                            dataType                       No                             primitiveDatatype             
---                            8                              ---                            ---                            parameter_list                 No                             dataType                      
---                            8                              ---                            ---                            input_par                      No                             parameter_list                
---                            8                              TK_ID                          ---                            parameter_list                 Yes                           ---                           
---                            8                              ---                            ---                            remaining_list                 Yes                           EPSILON                       
---                            8                              ---                            ---                            parameter_list                 No                             remaining_list                
---                            8                              TK_SQR                         ---                            input_par                      Yes                           ---                           
---                            9                              TK_OUTPUT                      ---                            output_par                     Yes                           ---                           
---                            8                              ---                            ---                            function                       No                             output_par                    
---                            9                              TK_PARAMETER                   ---                            output_par                     Yes                           ---                           
---                            9                              TK_LIST                        ---                            output_par                     Yes                           ---                           
---                            9                              TK_SQL                         ---                            output_par                     Yes                           ---                           
---                            9                              TK_RECORD                      ---                            constructedDatatype            Yes                           ---                           
---                            9                              ---                            ---                            dataType                       No                             constructedDatatype           
---                            9                              TK_RUID                        ---                            constructedDatatype            Yes                           ---                           
---                            9                              ---                            ---                            parameter_list                 No                             dataType                      
---                            9                              ---                            ---                            output_par                     No                             parameter_list                
---                            9                              TK_ID                          ---                            parameter_list                 Yes                           ---                           
---                            9                              ---                            ---                            remaining_list                 Yes                           EPSILON                       
---                            9                              ---                            ---                            parameter_list                 No                             remaining_list                
---                            9                              TK_SQR                         ---                            output_par                     Yes                           ---                           
---                            9                              TK_SEM                         ---                            function                       Yes                           ---                           
---                            10                             ---                            ---                            typeDefinitions                Yes                           EPSILON                       
---                            10                             ---                            ---                            stmts                          No                             typeDefinitions               
---                            8                              ---                            ---                            function                       No                             stmts                         
---                            10                             ---                            ---                            declarations                   Yes                           EPSILON                       
---                            10                             ---                            ---                            stmts                          No                             declarations                  
---                            10                             TK_READ                        ---                            ioStmt                         Yes                           ---                           
---                            10                             ---                            ---                            stmt                           No                             ioStmt                        
---                            10                             TK_OP                          ---                            ioStmt                         Yes                           ---                           
---                            10                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            10                             ---                            ---                            var                            No                             singleOrRecId                 
---                            10                             TK_DOT                         ---                            oneExpansion                   Yes                           ---                           
---                            10                             ---                            ---                            option_single_constructed      No                             oneExpansion                  
---                            10                             TK_FIELDID                     ---                            oneExpansion                   Yes                           ---                           
---                            10                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            10                             ---                            ---                            moreExpansion                  Yes                           EPSILON                       
---                            10                             ---                            ---                            option_single_constructed      No                             moreExpansion                 
---                            10                             ---                            ---                            ioStmt                         No                             var                           
---                            10                             TK_CL                          ---                            ioStmt                         Yes                           ---                           
---                            10                             TK_SEM                         ---                            ioStmt                         Yes                           ---                           
---                            10                             ---                            ---                            otherStmts                     No                             stmt                          
---                            10                             ---                            ---                            stmts                          No                             otherStmts                    
---                            11                             TK_READ                        ---                            ioStmt                         Yes                           ---                           
---                            11                             ---                            ---                            stmt                           No                             ioStmt                        
---                            11                             TK_OP                          ---                            ioStmt                         Yes                           ---                           
---                            11                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            11                             ---                            ---                            var                            No                             singleOrRecId                 
---                            11                             TK_DOT                         ---                            oneExpansion                   Yes                           ---                           
---                            11                             ---                            ---                            option_single_constructed      No                             oneExpansion                  
---                            11                             TK_FIELDID                     ---                            oneExpansion                   Yes                           ---                           
---                            11                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            11                             ---                            ---                            moreExpansion                  Yes                           EPSILON                       
---                            11                             ---                            ---                            option_single_constructed      No                             moreExpansion                 
---                            11                             ---                            ---                            ioStmt                         No                             var                           
---                            11                             TK_CL                          ---                            ioStmt                         Yes                           ---                           
---                            11                             TK_SEM                         ---                            ioStmt                         Yes                           ---                           
---                            11                             ---                            ---                            otherStmts                     No                             stmt                          
---                            10                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            12                             TK_READ                        ---                            ioStmt                         Yes                           ---                           
---                            12                             ---                            ---                            stmt                           No                             ioStmt                        
---                            12                             TK_OP                          ---                            ioStmt                         Yes                           ---                           
---                            12                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            12                             ---                            ---                            var                            No                             singleOrRecId                 
---                            12                             TK_DOT                         ---                            oneExpansion                   Yes                           ---                           
---                            12                             ---                            ---                            option_single_constructed      No                             oneExpansion                  
---                            12                             TK_FIELDID                     ---                            oneExpansion                   Yes                           ---                           
---                            12                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            12                             ---                            ---                            moreExpansion                  Yes                           EPSILON                       
---                            12                             ---                            ---                            option_single_constructed      No                             moreExpansion                 
---                            12                             ---                            ---                            ioStmt                         No                             var                           
---                            12                             TK_CL                          ---                            ioStmt                         Yes                           ---                           
---                            12                             TK_SEM                         ---                            ioStmt                         Yes                           ---                           
---                            12                             ---                            ---                            otherStmts                     No                             stmt                          
---                            11                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            13                             ---                            ---                            otherStmts                     Yes                           EPSILON                       
---                            12                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            13                             TK_RETURN                      ---                            returnStmt                     Yes                           ---                           
---                            10                             ---                            ---                            stmts                          No                             returnStmt                    
---                            13                             TK_SQL                         ---                            optionalReturn                 Yes                           ---                           
---                            13                             ---                            ---                            returnStmt                     No                             optionalReturn                
---                            13                             TK_ID                          ---                            idList                         Yes                           ---                           
---                            13                             ---                            ---                            optionalReturn                 No                             idList                        
---                            13                             ---                            ---                            more_ids                       Yes                           EPSILON                       
---                            13                             ---                            ---                            idList                         No                             more_ids                      
---                            13                             TK_SQR                         ---                            optionalReturn                 Yes                           ---                           
---                            13                             TK_SEM                         ---                            returnStmt                     Yes                           ---                           
---                            14                             TK_END                         ---                            function                       Yes                           ---                           
---                            8                              ---                            ---                            program                        No                             otherFunctions                
---                            20                             ---                            ---                            otherFunctions                 Yes                           EPSILON                       
---                            8                              ---                            ---                            otherFunctions                 No                             otherFunctions                
---                            0                              ---                            ---                            ---                            No                             program                       
---                            20                             TK_MAIN                        ---                            mainFunction                   Yes                           ---                           
---                            8                              ---                            ---                            program                        No                             mainFunction                  
---                            21                             TK_RECORD                      ---                            typeDefinition                 Yes                           ---                           
---                            21                             ---                            ---                            actualOrRedefined              No                             typeDefinition                
---                            21                             TK_RUID                        ---                            typeDefinition                 Yes                           ---                           
---                            22                             TK_TYPE                        ---                            fieldDefinition                Yes                           ---                           
---                            22                             ---                            ---                            fieldDefinitions               No                             fieldDefinition               
---                            22                             TK_REAL                        ---                            primitiveDatatype              Yes                           ---                           
---                            22                             ---                            ---                            fieldType                      No                             primitiveDatatype             
---                            22                             ---                            ---                            fieldDefinition                No                             fieldType                     
---                            22                             TK_COLON                       ---                            fieldDefinition                Yes                           ---                           
---                            22                             TK_FIELDID                     ---                            fieldDefinition                Yes                           ---                           
---                            22                             TK_SEM                         ---                            fieldDefinition                Yes                           ---                           
---                            21                             ---                            ---                            typeDefinition                 No                             fieldDefinitions              
---                            23                             TK_TYPE                        ---                            fieldDefinition                Yes                           ---                           
---                            22                             ---                            ---                            fieldDefinitions               No                             fieldDefinition               
---                            23                             TK_REAL                        ---                            primitiveDatatype              Yes                           ---                           
---                            23                             ---                            ---                            fieldType                      No                             primitiveDatatype             
---                            23                             ---                            ---                            fieldDefinition                No                             fieldType                     
---                            23                             TK_COLON                       ---                            fieldDefinition                Yes                           ---                           
---                            23                             TK_FIELDID                     ---                            fieldDefinition                Yes                           ---                           
---                            23                             TK_SEM                         ---                            fieldDefinition                Yes                           ---                           
---                            24                             TK_TYPE                        ---                            fieldDefinition                Yes                           ---                           
---                            24                             ---                            ---                            moreFields                     No                             fieldDefinition               
---                            24                             TK_REAL                        ---                            primitiveDatatype              Yes                           ---                           
---                            24                             ---                            ---                            fieldType                      No                             primitiveDatatype             
---                            24                             ---                            ---                            fieldDefinition                No                             fieldType                     
---                            24                             TK_COLON                       ---                            fieldDefinition                Yes                           ---                           
---                            24                             TK_FIELDID                     ---                            fieldDefinition                Yes                           ---                           
---                            24                             TK_SEM                         ---                            fieldDefinition                Yes                           ---                           
---                            22                             ---                            ---                            fieldDefinitions               No                             moreFields                    
---                            25                             ---                            ---                            moreFields                     Yes                           EPSILON                       
---                            24                             ---                            ---                            moreFields                     No                             moreFields                    
---                            25                             TK_ENDRECORD                   ---                            typeDefinition                 Yes                           ---                           
---                            21                             ---                            ---                            typeDefinitions                No                             actualOrRedefined             
---                            21                             ---                            ---                            stmts                          No                             typeDefinitions               
---                            28                             ---                            ---                            typeDefinitions                Yes                           EPSILON                       
---                            21                             ---                            ---                            typeDefinitions                No                             typeDefinitions               
---                            20                             ---                            ---                            mainFunction                   No                             stmts                         
---                            28                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            28                             ---                            ---                            declarations                   No                             declaration                   
---                            28                             TK_RECORD                      ---                            constructedDatatype            Yes                           ---                           
---                            28                             ---                            ---                            dataType                       No                             constructedDatatype           
---                            28                             TK_RUID                        ---                            constructedDatatype            Yes                           ---                           
---                            28                             ---                            ---                            declaration                    No                             dataType                      
---                            28                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            28                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            28                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
---                            28                             ---                            ---                            declaration                    No                             global_or_not                 
---                            21                             ---                            ---                            stmts                          No                             declarations                  
---                            31                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            31                             ---                            ---                            declarations                   No                             declaration                   
---                            31                             TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            31                             ---                            ---                            dataType                       No                             primitiveDatatype             
---                            31                             ---                            ---                            declaration                    No                             dataType                      
---                            31                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            31                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            31                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
---                            31                             ---                            ---                            declaration                    No                             global_or_not                 
---                            28                             ---                            ---                            declarations                   No                             declarations                  
---                            32                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            32                             ---                            ---                            declarations                   No                             declaration                   
---                            32                             TK_INT                         ---                            primitiveDatatype              Yes                           ---                           
---                            32                             ---                            ---                            dataType                       No                             primitiveDatatype             
---                            32                             ---                            ---                            declaration                    No                             dataType                      
---                            32                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            32                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            32                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
---                            32                             ---                            ---                            declaration                    No                             global_or_not                 
---                            31                             ---                            ---                            declarations                   No                             declarations                  
---                            33                             TK_TYPE                        ---                            declaration                    Yes                           ---                           
---                            33                             ---                            ---                            declarations                   No                             declaration                   
---                            33                             TK_RECORD                      ---                            constructedDatatype            Yes                           ---                           
---                            33                             ---                            ---                            dataType                       No                             constructedDatatype           
---                            33                             TK_RUID                        ---                            constructedDatatype            Yes                           ---                           
---                            33                             ---                            ---                            declaration                    No                             dataType                      
---                            33                             TK_COLON                       ---                            declaration                    Yes                           ---                           
---                            33                             TK_ID                          ---                            declaration                    Yes                           ---                           
---                            33                             TK_SEM                         ---                            global_or_not                  Yes                           ---                           
---                            33                             ---                            ---                            declaration                    No                             global_or_not                 
---                            32                             ---                            ---                            declarations                   No                             declarations                  
---                            36                             ---                            ---                            declarations                   Yes                           EPSILON                       
---                            33                             ---                            ---                            declarations                   No                             declarations                  
---                            36                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            36                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            36                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            36                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            36                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            36                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            36                             TK_NUM                         1                             var                            Yes                           ---                           
---                            36                             ---                            ---                            factor                         No                             var                           
---                            36                             ---                            ---                            term                           No                             factor                        
---                            36                             ---                            ---                            arithmeticExpression           No                             term                          
---                            36                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            36                             ---                            ---                            term                           No                             termPrime                     
---                            36                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            36                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            36                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            36                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            36                             ---                            ---                            otherStmts                     No                             stmt                          
---                            21                             ---                            ---                            stmts                          No                             otherStmts                    
---                            37                             TK_READ                        ---                            ioStmt                         Yes                           ---                           
---                            37                             ---                            ---                            stmt                           No                             ioStmt                        
---                            37                             TK_OP                          ---                            ioStmt                         Yes                           ---                           
---                            37                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            37                             ---                            ---                            var                            No                             singleOrRecId                 
---                            37                             ---                            ---                            option_single_constructed      Yes                           EPSILON                       
---                            37                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            37                             ---                            ---                            ioStmt                         No                             var                           
---                            37                             TK_CL                          ---                            ioStmt                         Yes                           ---                           
---                            37                             TK_SEM                         ---                            ioStmt                         Yes                           ---                           
---                            37                             ---                            ---                            otherStmts                     No                             stmt                          
---                            36                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            38                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            38                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            38                             TK_DOT                         ---                            oneExpansion                   Yes                           ---                           
---                            38                             ---                            ---                            option_single_constructed      No                             oneExpansion                  
---                            38                             TK_FIELDID                     ---                            oneExpansion                   Yes                           ---                           
---                            38                             ---                            ---                            singleOrRecId                  No                             option_single_constructed     
---                            38                             ---                            ---                            moreExpansion                  Yes                           EPSILON                       
---                            38                             ---                            ---                            option_single_constructed      No                             moreExpansion                 
---                            38                             ---                            ---                            stmt                           No                             assignmentStmt                
---                            38                             TK_ASSIGNOP                    ---                            assignmentStmt                 Yes                           ---                           
---                            38                             TK_RNUM                        0.00                          var                            Yes                           ---                           
---                            38                             ---                            ---                            factor                         No                             var                           
---                            38                             ---                            ---                            term                           No                             factor                        
---                            38                             ---                            ---                            arithmeticExpression           No                             term                          
---                            38                             ---                            ---                            termPrime                      Yes                           EPSILON                       
---                            38                             ---                            ---                            term                           No                             termPrime                     
---                            38                             ---                            ---                            assignmentStmt                 No                             arithmeticExpression          
---                            38                             ---                            ---                            expPrime                       Yes                           EPSILON                       
---                            38                             ---                            ---                            arithmeticExpression           No                             expPrime                      
---                            38                             TK_SEM                         ---                            assignmentStmt                 Yes                           ---                           
---                            38                             ---                            ---                            otherStmts                     No                             stmt                          
---                            37                             ---                            ---                            otherStmts                     No                             otherStmts                    
---                            39                             TK_ID                          ---                            singleOrRecId                  Yes                           ---                           
---                            39                             ---                            ---                            assignmentStmt                 No                             singleOrRecId                 
---                            39                             TK_DOT                         ---                            oneExpansion                   Yes                           ---                           
---                            39                             ---                            ---                            option_single_constructed      No                             oneExpansion                  
